ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0092388,0.006746,0.0093137,0.006436,0
0.0094201,0.0067603,0.009329,0.0064553,1
0.0087086,0.0061375,0.0088538,0.0059538,2
0.009109,0.0065132,0.0090191,0.0062179,3
0.0085308,0.0059935,0.0086153,0.0057674,4
0.0087669,0.0062022,0.0088106,0.0059232,5
0.0085249,0.0059766,0.0085783,0.0057389,6
0.0087702,0.0061871,0.008792,0.0059131,7
0.0085381,0.0059647,0.0086106,0.0056879,8
0.008785,0.0062175,0.0087936,0.0059223,9
0.0085661,0.0059855,0.0086085,0.0056781,10
0.008765,0.006243,0.0088151,0.0059709,11
0.0085657,0.0059718,0.0086099,0.0056607,12
0.0087769,0.0061911,0.0087918,0.0059154,13
0.0085456,0.0059793,0.0087608,0.005685,14
0.0087673,0.0062429,0.0089877,0.0059197,15
0.0085067,0.0059734,0.0087479,0.0056932,16
0.0087877,0.0062216,0.0090111,0.0059228,17
0.0085467,0.0059527,0.0087382,0.0057581,18
0.0087537,0.0061941,0.0089993,0.0059188,19
0.0085448,0.0059913,0.0087372,0.0056567,20
0.0088035,0.0062373,0.008979,0.0060109,21
0.0086236,0.0059985,0.0087574,0.0056858,22
0.0087867,0.0061693,0.0089856,0.005976,23
0.0085114,0.0059718,0.0087153,0.0056561,24
0.0087534,0.0062279,0.0089655,0.0059997,25
0.0085447,0.0059853,0.0087267,0.0056633,26
0.008767,0.0061919,0.0089761,0.0059189,27
0.0085614,0.005972,0.0087244,0.0056767,28
0.0087631,0.0062051,0.0089987,0.0059218,29
0.0085324,0.0059784,0.0087469,0.0057612,30
0.0087859,0.0062317,0.0090011,0.0059213,31
0.0085115,0.0059511,0.008748,0.0056626,32
0.0088183,0.0062308,0.0089797,0.0059338,33
0.008503,0.0059639,0.0087247,0.0056577,34
0.0088044,0.0062126,0.0089954,0.0059089,35
0.008563,0.0059767,0.0087207,0.0056877,36
0.0087624,0.0062213,0.0089735,0.0059573,37
0.0085417,0.0059789,0.0087339,0.0056604,38
0.0087755,0.006186,0.0090115,0.0059033,39
0.008515,0.0059857,0.0087358,0.005765,40
0.0087505,0.0061993,0.0090111,0.0059636,41
0.0085243,0.0059501,0.0087413,0.0056965,42
0.0087845,0.006229,0.0090144,0.0059224,43
0.0085355,0.0059479,0.0087639,0.005726,44
0.0088091,0.0062241,0.0090129,0.0059222,45
0.0085463,0.0059751,0.0087143,0.0056808,46
0.0087818,0.0062425,0.0089698,0.0059314,47
0.0085416,0.0059722,0.0087301,0.0056829,48
0.0088039,0.0062103,0.0090074,0.0059847,49
0.0084967,0.0059584,0.0087484,0.0056786,50
0.0087912,0.00621,0.0090082,0.0059269,51
0.0085423,0.0059371,0.0087229,0.0056729,52
0.0087669,0.0062111,0.0089704,0.0059292,53
0.0085362,0.0059648,0.0087484,0.0057255,54
0.008769,0.0062308,0.0089943,0.0059217,55
0.0085364,0.0059895,0.0087262,0.0057325,56
0.0087779,0.0062087,0.0090207,0.005924,57
0.0085278,0.0059697,0.008753,0.0056863,58
0.0088012,0.0061948,0.0090027,0.0060066,59
0.0085105,0.0059675,0.0087342,0.0056768,60
0.0087675,0.0062068,0.0089986,0.0059533,61
0.0085599,0.0059851,0.0087335,0.0057201,62
0.008751,0.0062183,0.0089626,0.0059515,63
0.008542,0.0059738,0.0087267,0.0057043,64
0.0087873,0.0061893,0.0089651,0.0059189,65
0.0085358,0.0059884,0.0087661,0.0057115,66
0.0088098,0.0062375,0.0089981,0.0058893,67
0.0085015,0.0059509,0.0087288,0.0056847,68
0.0087901,0.0062193,0.009003,0.0059276,69
0.0085365,0.0059752,0.0087397,0.0056869,70
0.0087983,0.0062102,0.0089938,0.0059384,71
0.008513,0.0059953,0.0087626,0.0058118,72
0.0087699,0.0062307,0.0089763,0.006032,73
0.0085479,0.0059609,0.0087455,0.0058083,74
0.0087434,0.0062305,0.0089748,0.0060224,75
0.0085346,0.0059527,0.0087371,0.0058033,76
0.0088131,0.0062317,0.0089747,0.0060176,77
0.0084834,0.0059614,0.0087224,0.005797,78
0.0088008,0.0062092,0.008974,0.0060315,79
0.0085355,0.0059709,0.0087196,0.0058076,80
0.0087475,0.006241,0.0089739,0.0060398,81
0.0085437,0.0059627,0.0087636,0.005794,82
0.0087884,0.0062497,0.0089856,0.0060251,83
0.0084996,0.0059576,0.0087676,0.0057686,84
0.0087702,0.006224,0.0090045,0.0060182,85
0.0085539,0.0059733,0.0087484,0.0057683,86
0.0087767,0.0062073,0.0090116,0.0060101,87
0.0085035,0.0059443,0.0087188,0.0057678,88
0.0088022,0.0062256,0.0089735,0.0060109,89
0.0085337,0.0059503,0.008753,0.0057292,90
0.0087852,0.0062307,0.0089744,0.0059882,91
0.0085212,0.0059608,0.0087565,0.0057683,92
0.0087847,0.0062196,0.0089903,0.0059924,93
0.0085179,0.0059635,0.0087421,0.005756,94
0.0087801,0.0062362,0.0089745,0.005989,95
0.0085512,0.0059593,0.0087237,0.0057738,96
0.0087877,0.0062118,0.0090159,0.0060108,97
0.0085128,0.005963,0.0087258,0.0057983,98
0.0087366,0.0062241,0.008987,0.0060441,99
