ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0088159,0.0063154,0.0091828,0.006088,0
0.0088682,0.006338,0.0091027,0.0060128,1
0.0082364,0.0058031,0.0085326,0.0054019,2
0.0087113,0.0055169,0.0085952,0.0056064,3
0.0081294,0.0055258,0.0082429,0.0053964,4
0.0085251,0.0058832,0.0089413,0.0056639,5
0.0081721,0.0056078,0.0083391,0.0054254,6
0.0083759,0.0061082,0.0087427,0.0056584,7
0.0085154,0.0056176,0.008336,0.0056118,8
0.0082038,0.0060132,0.0085598,0.0053979,9
0.0083639,0.0056839,0.0083055,0.0052736,10
0.0081403,0.005833,0.0082467,0.0055023,11
0.0082029,0.0059601,0.008577,0.0054,12
0.0085375,0.0056632,0.0082647,0.0056642,13
0.0080987,0.0058534,0.0088204,0.0056348,14
0.0086529,0.0056186,0.0082728,0.0053773,15
0.0083724,0.0056068,0.0089672,0.0052559,16
0.0082638,0.0057423,0.0083066,0.0055777,17
0.0080287,0.0059572,0.008599,0.0057183,18
0.0083472,0.0056781,0.0084073,0.0053144,19
0.0082246,0.0062142,0.0088881,0.0059444,20
0.0084017,0.0055437,0.008393,0.0053919,21
0.0088304,0.0056145,0.0087251,0.0055793,22
0.0081193,0.0058104,0.0087986,0.0053561,23
0.0081273,0.005674,0.0083775,0.0055293,24
0.0085477,0.0055671,0.0086709,0.0052921,25
0.0081684,0.0060526,0.0083922,0.0055825,26
0.0083826,0.0055817,0.0086621,0.0054479,27
0.0088167,0.0062897,0.0083813,0.0056055,28
0.0081095,0.0056584,0.0086405,0.0053947,29
0.008387,0.0058885,0.0083037,0.0053314,30
0.0082513,0.0056734,0.0089457,0.0055079,31
0.0081205,0.0056162,0.0083771,0.0057599,32
0.0083256,0.0059998,0.0089918,0.005248,33
0.0081259,0.0059904,0.00832,0.0052946,34
0.0083602,0.005608,0.0089272,0.0056932,35
0.0083834,0.0058906,0.0084053,0.0053709,36
0.0080855,0.0056698,0.0086024,0.0055207,37
0.0084191,0.0058962,0.0083971,0.0056634,38
0.0081708,0.0060398,0.0086939,0.0054506,39
0.008116,0.0055685,0.008379,0.0055254,40
0.0082754,0.0058505,0.0083488,0.0053742,41
0.0085378,0.0058226,0.0084763,0.0053183,42
0.0080653,0.0056406,0.0083084,0.0057503,43
0.0083817,0.0064905,0.0086374,0.0053805,44
0.008569,0.0055805,0.0087555,0.0056847,45
0.0084448,0.0056225,0.0084317,0.0053992,46
0.0081063,0.005822,0.0083281,0.0055344,47
0.0081538,0.0058566,0.0086332,0.0053895,48
0.0083081,0.0056145,0.008399,0.0059124,49
0.0082093,0.0058534,0.0086606,0.005394,50
0.0087026,0.0056827,0.0087194,0.005597,51
0.0081602,0.0059165,0.0083967,0.005218,52
0.0085285,0.0056901,0.0083298,0.0055733,53
0.0081676,0.0055945,0.0089116,0.0055929,54
0.008353,0.0056076,0.0083348,0.0052967,55
0.0084753,0.0056746,0.0087415,0.0052317,56
0.0081589,0.0057917,0.0087716,0.0055682,57
0.0084024,0.0060463,0.0082955,0.0052575,58
0.0081624,0.0056043,0.0086746,0.0055731,59
0.0084311,0.0056148,0.0083782,0.0054313,60
0.0084229,0.0057757,0.0086808,0.0056073,61
0.0083905,0.0059709,0.0083706,0.0056969,62
0.0082184,0.0056746,0.0086443,0.0054351,63
0.0081694,0.0061908,0.0082895,0.0052904,64
0.0083183,0.0056882,0.0089307,0.0059444,65
0.0081993,0.0059339,0.008318,0.0053374,66
0.0083253,0.0056932,0.0082443,0.0055626,67
0.008161,0.0056104,0.0089334,0.0053094,68
0.0085841,0.0059447,0.0083337,0.0055481,69
0.0081516,0.0056772,0.0085872,0.0054361,70
0.0085238,0.0061719,0.008271,0.0056121,71
0.0081693,0.0055923,0.0085458,0.00562,72
0.0087299,0.0059906,0.0084154,0.0054094,73
0.008133,0.0056793,0.0089483,0.0053236,74
0.0084947,0.0061922,0.0083938,0.0055646,75
0.0085151,0.0056117,0.0089311,0.0056581,76
0.0080881,0.0060074,0.0083329,0.0053884,77
0.0084454,0.0060484,0.0087283,0.0052402,78
0.0080818,0.0055244,0.0083912,0.0055598,79
0.0087001,0.0061915,0.0089149,0.0054392,80
0.0083375,0.0056788,0.0083075,0.0058512,81
0.0080165,0.0058483,0.0087468,0.0054339,82
0.0086631,0.0060069,0.0083838,0.0057192,83
0.0080376,0.005565,0.0085466,0.005424,84
0.0084294,0.0061025,0.0086579,0.0055597,85
0.0080492,0.0055711,0.008402,0.0056741,86
0.0086126,0.0059978,0.0086022,0.0053552,87
0.0080174,0.0056572,0.0084179,0.0059056,88
0.0084986,0.0057572,0.0083576,0.0053233,89
0.0081784,0.0056927,0.0087844,0.0053237,90
0.0084571,0.0058522,0.0083782,0.0056837,91
0.0081843,0.0056601,0.008568,0.0054103,92
0.0084694,0.0060421,0.0082756,0.0055687,93
0.0082051,0.0056803,0.0085635,0.0056985,94
0.0084382,0.0059575,0.0087519,0.0053782,95
0.008245,0.0056699,0.0083927,0.0055642,96
0.0084325,0.0058139,0.0083456,0.0052268,97
0.0082325,0.005923,0.0086488,0.0059312,98
0.0084154,0.0056829,0.008403,0.0053449,99
