ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0091225,0.006569,0.0093028,0.0063213,0
0.0091381,0.0065793,0.0093763,0.0063925,1
0.0091836,0.0066051,0.0093558,0.0063381,2
0.0091224,0.0064812,0.0090898,0.0061172,3
0.008886,0.0066356,0.0091238,0.0063567,4
0.009234,0.0065862,0.0092456,0.0063167,5
0.0092023,0.0065454,0.0092962,0.0063432,6
0.0091815,0.0065757,0.0093321,0.0062952,7
0.0091012,0.0066336,0.0093163,0.0063245,8
0.0090739,0.0065143,0.0093145,0.0062821,9
0.0091214,0.0065177,0.0092612,0.0063079,10
0.0091116,0.0065931,0.0092779,0.006288,11
0.0090684,0.0065749,0.0093458,0.0063739,12
0.0090573,0.006552,0.008718,0.0062825,13
0.0090658,0.0065654,0.0087027,0.0063264,14
0.0087392,0.0065845,0.0087231,0.0062634,15
0.00859,0.0063442,0.0086856,0.0063727,16
0.0084762,0.0065424,0.0087198,0.0063459,17
0.0085401,0.0065766,0.0087028,0.006282,18
0.0084631,0.0059406,0.0086528,0.0062919,19
0.0084845,0.0059961,0.0086699,0.0062878,20
0.008856,0.0060052,0.0087057,0.0060983,21
0.0090859,0.0059564,0.0086677,0.0062936,22
0.0091124,0.0059787,0.0086366,0.0062962,23
0.0090438,0.0059733,0.0086411,0.0062752,24
0.0091024,0.0059515,0.0086442,0.0063045,25
0.0090621,0.0059604,0.0086278,0.0062719,26
0.0090682,0.0059508,0.0086667,0.0063282,27
0.009108,0.0059341,0.0086096,0.006283,28
0.0090264,0.00595,0.0086728,0.0063213,29
0.0090877,0.0061721,0.0087238,0.0062671,30
0.0086032,0.0059795,0.0087131,0.0062886,31
0.0084776,0.0065613,0.0087099,0.0062832,32
0.0085023,0.0063802,0.0086542,0.0063245,33
0.0085079,0.0065352,0.0087018,0.0063076,34
0.0085317,0.0065766,0.0086519,0.0062793,35
0.0085786,0.0066392,0.0086902,0.0063126,36
0.0084931,0.0065578,0.008681,0.0062822,37
0.0085309,0.0065343,0.0086539,0.0063154,38
0.008538,0.006577,0.0086643,0.006255,39
0.0084854,0.0059183,0.0086193,0.0063104,40
0.0085009,0.0059834,0.0086305,0.0062766,41
0.0084987,0.005985,0.0091118,0.0057338,42
0.0084767,0.0059815,0.0090643,0.0056828,43
0.0085294,0.0059313,0.0092921,0.005803,44
0.0084637,0.0059771,0.0086994,0.0057235,45
0.0087044,0.0059669,0.0086709,0.0057302,46
0.0090319,0.0059643,0.0087114,0.0057075,47
0.0088702,0.0059213,0.0087158,0.0057331,48
0.0087554,0.0059486,0.0086422,0.0057411,49
0.0084436,0.0059413,0.0086552,0.005687,50
0.0084264,0.0059464,0.0086721,0.0057336,51
0.0084564,0.005943,0.0086529,0.0057108,52
0.0084249,0.0059238,0.0086745,0.005711,53
0.0084452,0.0064887,0.0086871,0.0056783,54
0.0085281,0.0063601,0.0086593,0.0057289,55
0.008463,0.006333,0.0087017,0.0057686,56
0.0084785,0.0065442,0.0086686,0.0056994,57
0.0085484,0.0065498,0.0086724,0.0057293,58
0.0084237,0.0065203,0.0086489,0.0062786,59
0.0084946,0.0066044,0.008685,0.0061064,60
0.0084479,0.0065586,0.0086736,0.0061441,61
0.0084196,0.0065016,0.0087231,0.0060304,62
0.0085218,0.0059516,0.0087417,0.0063037,63
0.0084169,0.006012,0.0085989,0.006285,64
0.0085207,0.0060128,0.0087334,0.0062857,65
0.0086299,0.0059741,0.0087156,0.0062814,66
0.0085934,0.0059464,0.0087045,0.0062655,67
0.0084703,0.0059859,0.0086723,0.0057101,68
0.0084937,0.0059938,0.0086949,0.0057675,69
0.0085985,0.005972,0.0087556,0.0057745,70
0.0085468,0.0059416,0.0087128,0.0057026,71
0.0084685,0.0059753,0.0086895,0.0057745,72
0.0084713,0.0059593,0.0087161,0.005755,73
0.0084306,0.0059626,0.008664,0.0057742,74
0.0085836,0.0059574,0.0086968,0.0057173,75
0.008553,0.0059737,0.008672,0.0057401,76
0.0085528,0.0059485,0.0086819,0.005671,77
0.0085405,0.0059208,0.0086783,0.0056731,78
0.008466,0.0059657,0.0086888,0.005687,79
0.0084341,0.00592,0.0087179,0.0056302,80
0.0085594,0.0059422,0.0086588,0.0057203,81
0.0084783,0.0059672,0.0086893,0.0056847,82
0.0086298,0.0059224,0.0087252,0.005718,83
0.0086077,0.0059471,0.008696,0.0056722,84
0.0085248,0.0059431,0.0086722,0.0057363,85
0.0085511,0.0059375,0.0086856,0.0057317,86
0.0085584,0.0059918,0.00871,0.0056607,87
0.0086125,0.00591,0.0086711,0.0057362,88
0.0085841,0.0059685,0.0086513,0.0056805,89
0.0085531,0.0059728,0.0087128,0.0056608,90
0.0085747,0.0059244,0.0086858,0.0056787,91
0.0085211,0.0060034,0.0086479,0.0056916,92
0.0085567,0.006005,0.0086816,0.0056703,93
0.0085726,0.0060774,0.0087757,0.0056719,94
0.0085271,0.0059763,0.0085886,0.0056657,95
0.0085909,0.0059578,0.0086825,0.0057246,96
0.0085904,0.0059812,0.0085977,0.0060714,97
0.0085253,0.0059974,0.0085504,0.0057532,98
0.0086039,0.0059595,0.0086043,0.0059969,99
