ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0119364,0.0091145,0.011713,0.0087311,0
0.0106276,0.0076928,0.0102997,0.007406,1
0.0100965,0.00733,0.0099602,0.0070329,2
0.0100838,0.0073325,0.0099906,0.0069619,3
0.0101173,0.0073864,0.0100752,0.0068234,4
0.0099409,0.0071753,0.0098251,0.0069247,5
0.0100576,0.0072746,0.0099198,0.0067481,6
0.0101033,0.0073577,0.0099339,0.0069263,7
0.0098014,0.0070377,0.0096238,0.0067899,8
0.0101396,0.0073073,0.009969,0.0069561,9
0.0098509,0.0070999,0.0096741,0.0067367,10
0.010031,0.0072376,0.0098504,0.0068935,11
0.0101267,0.0073829,0.0100389,0.0067976,12
0.0099462,0.0071615,0.0098121,0.0069758,13
0.0100598,0.0073165,0.0099245,0.0067629,14
0.0100967,0.0073237,0.0099649,0.0069063,15
0.0097835,0.0070451,0.0096484,0.0068122,16
0.0101127,0.0073323,0.0099785,0.0069262,17
0.0098494,0.0070824,0.0097086,0.0067245,18
0.0100443,0.0072878,0.0099167,0.0069273,19
0.0101305,0.0074423,0.0100195,0.0067561,20
0.0099556,0.0071379,0.0097677,0.0069718,21
0.0100697,0.0073445,0.0099033,0.0067235,22
0.0100795,0.0073094,0.0099126,0.0069248,23
0.0097675,0.007059,0.0096192,0.0067992,24
0.0101032,0.0073129,0.010009,0.0068954,25
0.0098848,0.0070893,0.0097438,0.0067316,26
0.0100521,0.0073162,0.0098635,0.0069314,27
0.0101275,0.0073691,0.0100085,0.0068068,28
0.0099568,0.0071725,0.009775,0.0069463,29
0.0100757,0.0072631,0.0099223,0.0067268,30
0.0100658,0.0073064,0.0099022,0.0069511,31
0.0097984,0.0069763,0.009671,0.0067971,32
0.0100909,0.0072869,0.00999,0.0069299,33
0.0098599,0.0071434,0.0097164,0.006756,34
0.0100184,0.007264,0.0098929,0.0069543,35
0.0101508,0.0073688,0.010004,0.006728,36
0.0099613,0.0071711,0.0098133,0.0069518,37
0.0101023,0.0072792,0.0098555,0.0067436,38
0.0100788,0.0073264,0.009918,0.0068589,39
0.0097995,0.0070308,0.0096539,0.0067706,40
0.0101212,0.0073414,0.0099175,0.0069253,41
0.0098608,0.0070691,0.0097264,0.0067606,42
0.0100119,0.0072867,0.0099257,0.0069047,43
0.0101506,0.0073699,0.0100053,0.0067848,44
0.0099547,0.0071693,0.009809,0.0069462,45
0.0100812,0.0073108,0.0099298,0.0067081,46
0.010055,0.0072877,0.009912,0.0069053,47
0.0097989,0.007028,0.0096619,0.0068177,48
0.0100792,0.0073488,0.0099519,0.006935,49
0.0098655,0.0071269,0.0097113,0.0067278,50
0.010011,0.0072654,0.009899,0.0069085,51
0.0101569,0.0074135,0.009978,0.0067899,52
0.0099464,0.0071817,0.0098377,0.0068935,53
0.0100811,0.0072889,0.0098653,0.0067461,54
0.0100755,0.0073147,0.00991,0.0069514,55
0.009796,0.0070264,0.009649,0.0067729,56
0.0101001,0.0073355,0.0099445,0.0069371,57
0.009903,0.0071155,0.0097168,0.0067203,58
0.0100323,0.0072956,0.0099015,0.0069096,59
0.0101361,0.0073997,0.0100338,0.0067673,60
0.0099237,0.0071314,0.0098749,0.0069973,61
0.0100725,0.0072856,0.0099179,0.0067421,62
0.0100942,0.0073116,0.0099325,0.0069055,63
0.0097994,0.0070443,0.0096871,0.0068012,64
0.0101233,0.0073711,0.0100122,0.0069424,65
0.0098591,0.0070936,0.0096961,0.0067862,66
0.0100168,0.0073349,0.0098618,0.0069207,67
0.0100982,0.0073448,0.0100431,0.0067806,68
0.009962,0.0071446,0.0098168,0.006947,69
0.0100547,0.0072923,0.0099299,0.0067508,70
0.0114591,0.0086664,0.0112383,0.0082797,71
0.0108391,0.0080783,0.0106019,0.0077756,72
0.0114714,0.0085772,0.0111874,0.0081633,73
0.0109105,0.008081,0.0106641,0.0077038,74
0.0113659,0.0086207,0.0112901,0.0082688,75
0.010762,0.0080078,0.0105829,0.0077651,76
0.0116009,0.0086768,0.0114021,0.008237,77
0.0108522,0.0080388,0.010712,0.0077164,78
0.0113285,0.0087106,0.0111517,0.0082781,79
0.0107178,0.0080018,0.0105396,0.0077068,80
0.0115724,0.0086508,0.0113348,0.0082713,81
0.0108493,0.0081066,0.0106722,0.0077377,82
0.0113283,0.0086899,0.0112065,0.0082668,83
0.0107096,0.008028,0.0105688,0.0076925,84
0.0115914,0.008687,0.0113461,0.0082544,85
0.0108569,0.0080468,0.010616,0.0077542,86
0.011336,0.0087034,0.011151,0.0082939,87
0.0107321,0.0079975,0.0106003,0.0077468,88
0.0115973,0.0087095,0.0114159,0.0082244,89
0.0108448,0.0080613,0.0106587,0.007722,90
0.011295,0.0087192,0.0111658,0.0082662,91
0.010756,0.0080334,0.0105727,0.007756,92
0.0115884,0.0086666,0.0112835,0.0083209,93
0.0108967,0.0080413,0.0106745,0.0078015,94
0.0113343,0.008741,0.0111706,0.0083033,95
0.0107668,0.0079937,0.0106055,0.0077254,96
0.0116225,0.0086945,0.0113776,0.0082556,97
0.0108067,0.0080715,0.0106467,0.0076773,98
0.0113159,0.0086668,0.0112007,0.0082958,99
