ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0115048,0.0094047,0.0120164,0.0095125,0
0.0107989,0.0077749,0.0108459,0.0081083,1
0.0112833,0.0089949,0.011342,0.0077697,2
0.0109347,0.008438,0.011249,0.0078505,3
0.0112855,0.0081867,0.0112241,0.0077419,4
0.0105378,0.0082233,0.0112376,0.0078548,5
0.0107795,0.0084273,0.0113375,0.0077667,6
0.0107502,0.0082585,0.0110965,0.008555,7
0.0107985,0.0081432,0.011023,0.0081653,8
0.0106947,0.0082779,0.0110377,0.0084198,9
0.010662,0.0083971,0.0110686,0.0083418,10
0.0105753,0.0081321,0.0111309,0.0084457,11
0.0107086,0.0082325,0.0112347,0.0083946,12
0.0106467,0.0082429,0.0112111,0.0084448,13
0.0106685,0.0081933,0.0109873,0.0082934,14
0.0108202,0.0082246,0.0112872,0.0083356,15
0.0105566,0.008194,0.0113123,0.0082583,16
0.0110743,0.0082399,0.0116886,0.0083996,17
0.0109368,0.0081256,0.0113045,0.0083983,18
0.0104207,0.008187,0.0108191,0.0081847,19
0.0107449,0.0083466,0.0110466,0.0083276,20
0.0106944,0.0081506,0.0110519,0.0083923,21
0.0106562,0.0084442,0.0109911,0.0083101,22
0.0107578,0.0083927,0.0108796,0.008276,23
0.0105251,0.0083618,0.0107333,0.0082136,24
0.0107252,0.0082223,0.0102595,0.0082653,25
0.0107303,0.0083048,0.009838,0.0075025,26
0.0098491,0.0080646,0.0099015,0.0075127,27
0.0097626,0.0083111,0.0099397,0.0072676,28
0.0097549,0.0082613,0.0099148,0.0071091,29
0.00967,0.0083508,0.0100018,0.0072427,30
0.0097512,0.0082287,0.0099101,0.0069777,31
0.0096637,0.0083059,0.0100975,0.007058,32
0.0098379,0.0083677,0.0098783,0.0070574,33
0.0099552,0.0083053,0.010087,0.0069857,34
0.0097854,0.0076803,0.0098425,0.0069404,35
0.010007,0.0074431,0.0098522,0.0072198,36
0.0104543,0.0073041,0.0100093,0.006854,37
0.0107467,0.007223,0.0099485,0.0070958,38
0.0108697,0.0071388,0.0098259,0.0070886,39
0.0105424,0.0071563,0.0097729,0.0076863,40
0.0109298,0.0071898,0.0097895,0.0074657,41
0.0099209,0.0072069,0.0097911,0.0076773,42
0.0096851,0.0070731,0.0100954,0.0080722,43
0.0097857,0.007222,0.0100532,0.0082668,44
0.0095834,0.0074798,0.0098407,0.0084589,45
0.0096927,0.0076039,0.0099721,0.0082925,46
0.0097931,0.007328,0.0097366,0.0084369,47
0.0095553,0.0073469,0.0098158,0.0083153,48
0.0096106,0.0073868,0.0101142,0.0083187,49
0.0095874,0.0071036,0.0100296,0.0082143,50
0.0097294,0.0071715,0.0100056,0.0084613,51
0.0097696,0.0071637,0.009836,0.0082215,52
0.0095467,0.0071854,0.010056,0.0083227,53
0.0095172,0.0072341,0.0099796,0.0082553,54
0.0100106,0.0072647,0.0099212,0.0083328,55
0.0095127,0.0074228,0.010013,0.0084438,56
0.0095664,0.0074709,0.009848,0.0084048,57
0.0095056,0.0076553,0.0100028,0.0083156,58
0.0097841,0.0077499,0.0099961,0.008306,59
0.0097959,0.0072632,0.0099429,0.0085018,60
0.0096344,0.0074379,0.0101509,0.0083303,61
0.0097555,0.0071488,0.0098307,0.008206,62
0.0097555,0.0075319,0.0098809,0.0071643,63
0.0098778,0.0074322,0.0100114,0.0072113,64
0.009705,0.0071784,0.0098945,0.007319,65
0.0097357,0.0074121,0.0099385,0.0074496,66
0.0097835,0.0072769,0.00979,0.0077642,67
0.0097006,0.0070908,0.0099724,0.0073329,68
0.0095838,0.007508,0.009762,0.0078665,69
0.0097632,0.0075233,0.0100486,0.007022,70
0.0097024,0.0073271,0.0100149,0.0082184,71
0.0099335,0.0072027,0.0099053,0.0087283,72
0.0097469,0.0072645,0.009762,0.008114,73
0.0101154,0.0071715,0.0097686,0.0086201,74
0.0096607,0.0071234,0.0099049,0.0081289,75
0.0095785,0.0070874,0.0101335,0.0088018,76
0.0096097,0.0071111,0.01,0.0082166,77
0.0096065,0.0071268,0.0100739,0.0085762,78
0.0095185,0.007104,0.009785,0.0081367,79
0.0095007,0.0071078,0.0099305,0.0086453,80
0.0097518,0.0073763,0.0100229,0.008169,81
0.0094124,0.0071124,0.0099875,0.0087019,82
0.0097138,0.0072871,0.0098788,0.008134,83
0.0097166,0.0069856,0.0099499,0.0083945,84
0.009809,0.0072418,0.0098313,0.0079991,85
0.009799,0.0072331,0.0098049,0.0085221,86
0.0095647,0.0071835,0.0100489,0.0081495,87
0.0094231,0.0070688,0.0098214,0.0086315,88
0.009658,0.0071771,0.0099775,0.0081947,89
0.0096088,0.0070692,0.0105201,0.0085214,90
0.0097496,0.0071297,0.0100439,0.0084017,91
0.0096891,0.0072754,0.0101697,0.0085715,92
0.009633,0.0071641,0.0100034,0.0081075,93
0.009767,0.0070512,0.0099646,0.0085769,94
0.0094993,0.0072624,0.0098048,0.0079669,95
0.009681,0.0072847,0.009988,0.0085637,96
0.0098498,0.0072916,0.0099373,0.0080692,97
0.0098752,0.0071631,0.0098001,0.0088031,98
0.0097552,0.0073054,0.0100843,0.0080117,99
