ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0563894,0.0526811,0.0560551,0.0522016,0
0.0559016,0.0524401,0.055785,0.0519198,1
0.0557306,0.0528502,0.0551543,0.0518404,2
0.0559715,0.0524095,0.0557933,0.0516228,3
0.0549278,0.0518423,0.0550945,0.052177,4
0.0548928,0.0516617,0.0550569,0.0515451,5
0.0550381,0.0514818,0.0550932,0.0512784,6
0.0556388,0.051845,0.0557325,0.0514551,7
0.0546521,0.0509893,0.054951,0.0523903,8
0.0549284,0.0511436,0.0555276,0.0516052,9
0.0549641,0.0509777,0.054716,0.0514506,10
0.0557779,0.0509843,0.0553853,0.0522706,11
0.055204,0.0517494,0.0595076,0.0518008,12
0.0555103,0.050916,0.0552532,0.0518054,13
0.0553347,0.0511164,0.054789,0.0519177,14
0.0548721,0.0508598,0.0556632,0.0517895,15
0.0554164,0.0516704,0.0548562,0.0523354,16
0.0553926,0.0509552,0.0550272,0.051506,17
0.0551031,0.0514504,0.0547779,0.0524708,18
0.0550397,0.0510805,0.0553099,0.0516845,19
0.0551113,0.0515032,0.0551463,0.0519355,20
0.0554693,0.0512322,0.0550147,0.0518467,21
0.0556331,0.0506951,0.0548949,0.0516215,22
0.0552308,0.0511513,0.0550186,0.0521288,23
0.0551114,0.0506772,0.0545506,0.0525907,24
0.0551378,0.051043,0.0551178,0.0520938,25
0.055753,0.0509409,0.054606,0.0514401,26
0.0556761,0.0516224,0.0555851,0.0520402,27
0.055202,0.0512042,0.0548091,0.0520177,28
0.0552064,0.0513655,0.0557173,0.0519517,29
0.0552858,0.051006,0.0552177,0.0520451,30
0.0552235,0.0512146,0.0557234,0.0515151,31
0.0554183,0.0508449,0.0551875,0.0520426,32
0.0553616,0.0511102,0.0554332,0.0517389,33
0.055751,0.0514921,0.0552299,0.0519923,34
0.055391,0.0508728,0.0558791,0.051915,35
0.0552976,0.0513084,0.0551329,0.0517754,36
0.0555015,0.0513627,0.0556567,0.0521167,37
0.0548678,0.0508879,0.0552877,0.0519495,38
0.0552047,0.0509247,0.0557658,0.0516134,39
0.0548262,0.0508411,0.0548992,0.0518842,40
0.0550285,0.0532209,0.0558895,0.0514549,41
0.0553339,0.0523474,0.0547631,0.0522117,42
0.0557511,0.0514036,0.0560916,0.0515478,43
0.0564281,0.0508045,0.0549441,0.0518261,44
0.0554223,0.0515512,0.0554232,0.0520814,45
0.0569463,0.0512615,0.0552078,0.0515991,46
0.0557262,0.0506772,0.0555439,0.0521768,47
0.0558635,0.0515613,0.0550423,0.0516681,48
0.0561195,0.0506744,0.0553111,0.0525775,49
0.0556928,0.0512681,0.0553521,0.0514659,50
0.0554958,0.0509031,0.0555098,0.0526541,51
0.056798,0.0518958,0.055004,0.0516867,52
0.0558049,0.0510264,0.0553159,0.0524721,53
0.0562147,0.0507934,0.0549875,0.0515517,54
0.0557546,0.0511644,0.0553771,0.0522872,55
0.0563946,0.0510581,0.0554281,0.051256,56
0.0555973,0.0509822,0.0553204,0.0514498,57
0.0561267,0.0512173,0.0549285,0.0522174,58
0.0559146,0.0509442,0.0553968,0.0516626,59
0.056602,0.0511874,0.0546928,0.0519745,60
0.0560723,0.0515476,0.0555987,0.05147,61
0.0566919,0.0525311,0.0550775,0.0518689,62
0.0558123,0.0518008,0.0557086,0.0517989,63
0.056597,0.051966,0.0544648,0.0513322,64
0.0559614,0.0519743,0.0552707,0.0520393,65
0.0562439,0.051602,0.0546247,0.0514311,66
0.0555956,0.0521739,0.0551133,0.0513658,67
0.0564142,0.0521131,0.0547025,0.0513394,68
0.0558711,0.051924,0.0550579,0.0513276,69
0.0551632,0.0519321,0.0551198,0.0515601,70
0.0559456,0.0517196,0.0554919,0.0518455,71
0.0558922,0.0522177,0.0549622,0.0517454,72
0.0560154,0.0523098,0.0552501,0.0518928,73
0.0558708,0.0517542,0.0549312,0.0516809,74
0.0559203,0.0515592,0.0554248,0.0514519,75
0.0566761,0.0521973,0.0547238,0.0513359,76
0.0560621,0.0521553,0.0558835,0.0517484,77
0.0565638,0.0523622,0.0550108,0.0518342,78
0.0562768,0.0516334,0.0550677,0.0523441,79
0.0560379,0.0525037,0.0550329,0.051784,80
0.0556888,0.0519415,0.0555556,0.0517067,81
0.0566789,0.0517718,0.0547462,0.0520839,82
0.0561662,0.0519478,0.0552586,0.051539,83
0.0561457,0.0514302,0.0549251,0.0517927,84
0.0556884,0.0520671,0.05528,0.0513198,85
0.0556512,0.0512227,0.0549063,0.0519283,86
0.0565798,0.051629,0.0552232,0.0515707,87
0.0563273,0.0525393,0.0548102,0.0517869,88
0.0555828,0.0521025,0.0553259,0.0514952,89
0.0561069,0.0514175,0.0553066,0.0515469,90
0.0559585,0.0515227,0.0552395,0.0518831,91
0.0555102,0.0516876,0.0547869,0.0515614,92
0.0565619,0.0513853,0.055218,0.052128,93
0.0559224,0.0515491,0.0550589,0.051376,94
0.056186,0.0516366,0.0555238,0.0520352,95
0.0562602,0.0512604,0.0548754,0.0518308,96
0.0557932,0.0515327,0.0557327,0.0522394,97
0.0567445,0.0517126,0.0547412,0.0514265,98
0.0559478,0.0512066,0.0553608,0.0514999,99
