ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0117294,0.0079682,0.0114369,0.0083841,0
0.0114788,0.0082129,0.0111658,0.0081837,1
0.0106187,0.0075901,0.0106092,0.0077315,2
0.011175,0.0070529,0.0103872,0.007127,3
0.0107367,0.0073442,0.0103634,0.0073126,4
0.0104061,0.0075432,0.0107126,0.0072515,5
0.0110213,0.0069822,0.0103701,0.0072186,6
0.0108146,0.0073282,0.010706,0.0070779,7
0.0105185,0.007153,0.0105742,0.007355,8
0.0108062,0.0077389,0.010623,0.0074423,9
0.0106916,0.0072308,0.0102197,0.0073937,10
0.0107402,0.0073173,0.0105304,0.006997,11
0.0112184,0.0072257,0.0103962,0.0076077,12
0.0107126,0.007107,0.0106583,0.0069651,13
0.0108004,0.007525,0.0102353,0.0072597,14
0.0107489,0.0071306,0.010594,0.0075913,15
0.0104586,0.007713,0.0103915,0.0071945,16
0.0107429,0.0071446,0.010553,0.0070515,17
0.010781,0.0077042,0.0103581,0.0070687,18
0.0112545,0.0071181,0.0106453,0.0075934,19
0.010627,0.0079969,0.0101963,0.0072974,20
0.0108996,0.0070668,0.0107368,0.0076646,21
0.0109136,0.0074514,0.01045,0.007347,22
0.0104573,0.0070764,0.0104203,0.0071802,23
0.0110843,0.0077434,0.0109071,0.007039,24
0.0107889,0.0073288,0.0102111,0.0080479,25
0.0107309,0.0070595,0.0103321,0.0068401,26
0.0105246,0.0076084,0.0107326,0.0074579,27
0.0104597,0.0071546,0.0103618,0.0072067,28
0.0107457,0.0072153,0.0105753,0.0073435,29
0.0105161,0.0073452,0.0106655,0.0071795,30
0.0110306,0.0071842,0.01041,0.0072784,31
0.0110707,0.0074761,0.010874,0.0070249,32
0.0105164,0.007124,0.0104956,0.0070548,33
0.0107509,0.0077811,0.0109437,0.007785,34
0.010531,0.0072376,0.0102285,0.0071801,35
0.0107009,0.0077609,0.0104843,0.0072334,36
0.0114853,0.0070931,0.0102808,0.0073314,37
0.0106201,0.0071277,0.0105173,0.0070094,38
0.0110902,0.0075347,0.0103908,0.0075238,39
0.0105319,0.0072723,0.0104669,0.0072175,40
0.010738,0.0073285,0.0102294,0.007602,41
0.0104313,0.0074797,0.0106405,0.0070582,42
0.0108096,0.0071027,0.0103662,0.0073683,43
0.0113606,0.007466,0.0110857,0.0070791,44
0.0104716,0.007387,0.0107006,0.0072219,45
0.0104432,0.0076247,0.0102177,0.0073212,46
0.0111007,0.0071994,0.0105722,0.0074457,47
0.0105013,0.0071823,0.010394,0.0073116,48
0.0111312,0.0076158,0.0109534,0.007209,49
0.0105958,0.0077079,0.0103385,0.0071509,50
0.0109393,0.0070111,0.0102087,0.0076647,51
0.0105315,0.0071582,0.010644,0.0073321,52
0.010988,0.0077387,0.0104722,0.007332,53
0.0106695,0.0071369,0.011072,0.0071327,54
0.010817,0.0077265,0.0103907,0.0073344,55
0.0107098,0.0070035,0.0105216,0.0070249,56
0.010958,0.0071664,0.0103679,0.0073577,57
0.0109269,0.0071295,0.0105588,0.0072595,58
0.0105559,0.0071358,0.0105709,0.0073458,59
0.0106921,0.0078139,0.0109677,0.007093,60
0.0104381,0.0071386,0.0106904,0.0077528,61
0.0108128,0.0077194,0.0103703,0.0070464,62
0.0106367,0.0073393,0.0105637,0.0072702,63
0.0104501,0.0073553,0.0107262,0.0070423,64
0.0105437,0.007024,0.0110053,0.0074808,65
0.0108556,0.0072826,0.0101899,0.0073508,66
0.0110877,0.0071879,0.0107351,0.0073457,67
0.0105944,0.0077207,0.0103957,0.0071579,68
0.0108811,0.0073768,0.0105997,0.007236,69
0.0105517,0.007196,0.0104568,0.0071249,70
0.0113817,0.0074237,0.0109041,0.0073677,71
0.0107192,0.0074045,0.0103879,0.0072766,72
0.0109015,0.007382,0.011294,0.0073238,73
0.010785,0.0072509,0.0103301,0.0069984,74
0.0110656,0.0074197,0.0105989,0.0070571,75
0.0105692,0.0070689,0.0118937,0.0078349,76
0.0108628,0.0074256,0.0118866,0.0071395,77
0.0106996,0.0074557,0.0103172,0.007461,78
0.0107712,0.0071598,0.0105601,0.0073131,79
0.0106672,0.0074619,0.0105249,0.0070575,80
0.0112201,0.0071365,0.0110956,0.0078263,81
0.0106709,0.0071358,0.0104271,0.0070311,82
0.0107322,0.0073982,0.0105807,0.0073811,83
0.0104312,0.007272,0.0108818,0.0071982,84
0.0111146,0.0076525,0.0104295,0.0077431,85
0.0107753,0.0071315,0.010728,0.0072013,86
0.0111196,0.007511,0.0106917,0.0069976,87
0.010588,0.0071869,0.0106904,0.0076138,88
0.011496,0.0076408,0.0111534,0.0071388,89
0.0105762,0.0071622,0.01037,0.0073508,90
0.0104164,0.0070561,0.010511,0.0074531,91
0.0104892,0.0077628,0.0110523,0.0070664,92
0.0106237,0.0075795,0.0103911,0.0075706,93
0.0108199,0.0074976,0.0108145,0.0072725,94
0.0115737,0.0072889,0.01054,0.0075493,95
0.0107195,0.0074574,0.0107109,0.0072285,96
0.0107895,0.007402,0.0103662,0.0071179,97
0.010571,0.0071445,0.0103403,0.0076144,98
0.0109482,0.0076722,0.0111331,0.0074072,99
