ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0124371,0.0091421,0.0123459,0.0085374,0
0.0124424,0.0088447,0.0123951,0.0086056,1
0.0118545,0.0085247,0.0117392,0.008464,2
0.0120473,0.0086236,0.0117264,0.0079737,3
0.0112372,0.0081147,0.0113645,0.0076756,4
0.0115924,0.0083245,0.0114631,0.0083949,5
0.0113758,0.0080264,0.0112747,0.0076497,6
0.0114801,0.0083052,0.0117141,0.0081793,7
0.0112718,0.008104,0.0113415,0.0076933,8
0.0116389,0.0082335,0.0115187,0.0082113,9
0.011493,0.0080607,0.0111316,0.0078758,10
0.0114771,0.0083665,0.0117003,0.0083302,11
0.0113218,0.0079461,0.0115931,0.0076643,12
0.0116344,0.0082445,0.0118921,0.0083726,13
0.0115142,0.0082106,0.0114279,0.0076519,14
0.0115353,0.0081051,0.0115376,0.0081932,15
0.0114929,0.0081305,0.0113904,0.0076986,16
0.0119806,0.0083081,0.0115093,0.0083076,17
0.011212,0.0078994,0.0110977,0.0079238,18
0.011673,0.0083536,0.0117261,0.0082188,19
0.0113722,0.007951,0.0112737,0.0077646,20
0.011578,0.0082427,0.0116934,0.0083037,21
0.01143,0.0080813,0.0111735,0.0076616,22
0.0116484,0.0081849,0.0116776,0.0083758,23
0.0113857,0.008222,0.011413,0.0077011,24
0.0116037,0.008274,0.0120365,0.008358,25
0.0112151,0.0079821,0.0112198,0.007789,26
0.0117405,0.0083263,0.0114923,0.0083255,27
0.0112296,0.0079665,0.0114732,0.0077862,28
0.0117091,0.0083243,0.0116014,0.0083219,29
0.0113793,0.0082809,0.0111585,0.0076567,30
0.0118898,0.0081839,0.0116924,0.0082679,31
0.0113812,0.0081178,0.011454,0.0076945,32
0.0115828,0.0083258,0.0115851,0.0081997,33
0.011233,0.0081497,0.0112504,0.0078172,34
0.0115745,0.0084112,0.0115133,0.0082161,35
0.0113049,0.0079976,0.0113665,0.0077625,36
0.0120891,0.0082874,0.0116684,0.008334,37
0.0114183,0.0080706,0.0112666,0.0078302,38
0.0116877,0.008316,0.0113584,0.0083257,39
0.0113132,0.008042,0.0113359,0.0077965,40
0.0114879,0.0086225,0.0116126,0.008354,41
0.0113494,0.0079352,0.0112723,0.0079494,42
0.0115738,0.0082441,0.0117261,0.008345,43
0.0116427,0.0080421,0.0112624,0.007672,44
0.0116743,0.0082481,0.0117302,0.008404,45
0.0112377,0.0080901,0.0112517,0.0077936,46
0.0115088,0.008287,0.0115395,0.0082847,47
0.0114008,0.0080445,0.0114018,0.0076876,48
0.0115154,0.0083389,0.0116766,0.0082058,49
0.0113673,0.0080942,0.0113809,0.0078083,50
0.0115555,0.0082493,0.0115106,0.0082193,51
0.0113956,0.0080291,0.0111991,0.0077309,52
0.0116679,0.0082359,0.011522,0.0082328,53
0.0113711,0.0080993,0.0115528,0.0076692,54
0.0115415,0.008248,0.0116905,0.0083182,55
0.0113764,0.008087,0.0114741,0.0078294,56
0.0115263,0.0084135,0.0116439,0.008279,57
0.0112343,0.008021,0.0112135,0.0079523,58
0.0115666,0.0081792,0.011515,0.0083331,59
0.0113382,0.0080404,0.0114165,0.0076885,60
0.0116452,0.0082289,0.0118251,0.0082941,61
0.0113513,0.0080113,0.0114365,0.0077968,62
0.01153,0.0083454,0.0114101,0.0084815,63
0.0113427,0.0080837,0.011247,0.0076617,64
0.0115207,0.0085077,0.0115977,0.0082273,65
0.0112897,0.0081079,0.0113363,0.0078233,66
0.0117901,0.0083743,0.0117757,0.0081786,67
0.0112164,0.0080999,0.0113346,0.0076378,68
0.0115014,0.0082246,0.0116508,0.008361,69
0.0114561,0.0079591,0.0117657,0.0076531,70
0.0116776,0.0082833,0.0116554,0.0082536,71
0.011267,0.0080459,0.011409,0.007654,72
0.0115254,0.0084208,0.0117094,0.0082906,73
0.011511,0.0079647,0.0114919,0.007816,74
0.0117298,0.0081844,0.0115512,0.0082117,75
0.0113956,0.0082817,0.0113186,0.0077342,76
0.0115142,0.0082248,0.0115427,0.0082338,77
0.0115315,0.0078672,0.0115086,0.0076911,78
0.0116575,0.0082238,0.0116024,0.0083713,79
0.0113174,0.0081737,0.0112263,0.0076599,80
0.0117385,0.0082921,0.011525,0.0082142,81
0.011415,0.0080477,0.0113204,0.0078165,82
0.0114611,0.0082571,0.0116332,0.0082146,83
0.0113647,0.0084112,0.0114146,0.0077473,84
0.0116956,0.0082135,0.0119094,0.0083499,85
0.0114557,0.0080584,0.0113911,0.0077778,86
0.01162,0.0082643,0.0115111,0.008291,87
0.0112806,0.0079896,0.0111586,0.0076461,88
0.0117196,0.0083658,0.0117225,0.0082075,89
0.0113349,0.0080091,0.0113517,0.0077975,90
0.0115221,0.0083365,0.011965,0.0082108,91
0.0113166,0.0083128,0.011298,0.0077276,92
0.0116644,0.0081759,0.0114798,0.008352,93
0.0115094,0.0080164,0.0113965,0.007779,94
0.0117136,0.0082709,0.0114586,0.0084142,95
0.0113231,0.0079873,0.0114321,0.0077725,96
0.0116176,0.0085241,0.0118041,0.008284,97
0.0112675,0.0078482,0.0112826,0.0079751,98
0.0115146,0.0082968,0.0113999,0.0083347,99
