ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0152463,0.0118619,0.0153686,0.0123492,0
0.0132906,0.0103122,0.0137587,0.0097648,1
0.0128831,0.0097102,0.0129666,0.0096985,2
0.0129699,0.0096494,0.0130779,0.0095796,3
0.0124745,0.0095487,0.0125141,0.00919,4
0.0131281,0.0094972,0.0130299,0.0095394,5
0.0124498,0.009208,0.0125456,0.0092807,6
0.0128547,0.0098499,0.013088,0.0093014,7
0.012525,0.0093323,0.0125916,0.0093152,8
0.0129195,0.0095878,0.0129859,0.0094494,9
0.0125512,0.0094888,0.0125148,0.0089755,10
0.0128919,0.0094223,0.012877,0.0096072,11
0.0125081,0.0092966,0.012728,0.0091626,12
0.012898,0.0095933,0.0128432,0.0093507,13
0.0126125,0.0092498,0.0126955,0.0094063,14
0.012992,0.0099312,0.0127802,0.0095294,15
0.0126212,0.0092949,0.0125626,0.0090743,16
0.012782,0.0094828,0.0128512,0.0097258,17
0.0129636,0.0093247,0.0128242,0.0091132,18
0.0127396,0.0095022,0.0127422,0.0094569,19
0.0128409,0.0092611,0.0126475,0.0093865,20
0.0127976,0.0098798,0.0126136,0.009569,21
0.012664,0.0092392,0.0126783,0.0090173,22
0.0127268,0.0096472,0.0130684,0.0097245,23
0.0128486,0.0093643,0.0123856,0.0092337,24
0.0128627,0.0095445,0.0130303,0.009311,25
0.0125393,0.0094375,0.0124668,0.0092716,26
0.0128062,0.0099152,0.0131605,0.0093129,27
0.0126473,0.0091069,0.0127021,0.0093464,28
0.0127793,0.0097164,0.0132075,0.0095327,29
0.0127002,0.0094286,0.0127162,0.0090714,30
0.0131283,0.0094093,0.0131309,0.0098377,31
0.012639,0.0094827,0.0126875,0.0092139,32
0.0133705,0.0096309,0.0129522,0.0093173,33
0.0125575,0.0092091,0.0126021,0.0095867,34
0.0129519,0.0095677,0.0129255,0.009347,35
0.0125579,0.0094177,0.0129638,0.0090487,36
0.0128693,0.0094632,0.0126592,0.0097142,37
0.0125638,0.0095412,0.0127072,0.0091843,38
0.0131343,0.0096533,0.0128276,0.0092766,39
0.0124928,0.0091973,0.0128704,0.0094902,40
0.0128728,0.0098675,0.0129949,0.0093503,41
0.0125366,0.0092484,0.0129071,0.009068,42
0.0129972,0.0097073,0.0129379,0.0098358,43
0.0126944,0.0094148,0.0128335,0.0090289,44
0.0128895,0.0095115,0.0129065,0.0093573,45
0.0126606,0.0092834,0.0126122,0.009663,46
0.012794,0.0095711,0.0132008,0.0094328,47
0.0126908,0.0092759,0.0125604,0.00916,48
0.0128746,0.0097961,0.013121,0.0095761,49
0.012769,0.0093401,0.0126122,0.0092314,50
0.0128683,0.0096461,0.0131937,0.0094709,51
0.0126219,0.0095484,0.0125569,0.0092062,52
0.0127342,0.0095236,0.0129586,0.0094211,53
0.0126295,0.0092579,0.0129581,0.0092983,54
0.0128663,0.0098107,0.0131562,0.0092873,55
0.0125986,0.0092517,0.0127358,0.0091635,56
0.012817,0.0095925,0.0127744,0.0095571,57
0.0127384,0.0096334,0.0128405,0.0092146,58
0.0127107,0.0094939,0.0127451,0.0093648,59
0.0125412,0.0092631,0.0127128,0.0095211,60
0.0131829,0.0098095,0.0127613,0.0095384,61
0.0124874,0.0092237,0.012769,0.0090952,62
0.0130265,0.0096339,0.0128162,0.0095705,63
0.0124757,0.0092444,0.0126337,0.0092381,64
0.0128884,0.0094813,0.012748,0.0093616,65
0.0124806,0.0094736,0.0125785,0.009707,66
0.0130488,0.0095766,0.0131327,0.0093545,67
0.0124283,0.0091661,0.012424,0.0089354,68
0.0129113,0.0098564,0.0128773,0.0098085,69
0.012628,0.0093033,0.0125723,0.009079,70
0.0147165,0.0110857,0.0146849,0.0113612,71
0.0138364,0.0107307,0.0139358,0.0104546,72
0.014765,0.0111616,0.0146576,0.0109968,73
0.0139086,0.010782,0.0140215,0.0108473,74
0.0146886,0.0113519,0.0149908,0.0110716,75
0.0138826,0.0107996,0.0137113,0.0104652,76
0.0148634,0.011228,0.014713,0.0111264,77
0.0139741,0.0107315,0.0138348,0.0104556,78
0.0146336,0.0114646,0.0148805,0.0111615,79
0.0139569,0.0105178,0.0138554,0.0106775,80
0.0147521,0.011319,0.0149549,0.0112533,81
0.0137756,0.0107181,0.013873,0.0104025,82
0.01497,0.0110464,0.0147435,0.011205,83
0.014056,0.0109909,0.0143132,0.0107845,84
0.014453,0.0111788,0.0145111,0.010954,85
0.0141607,0.0108565,0.0138473,0.0106935,86
0.0148128,0.0113313,0.0145351,0.0111003,87
0.014006,0.0105127,0.0141119,0.0104156,88
0.014405,0.0116817,0.0145391,0.011514,89
0.0139281,0.0106101,0.0139143,0.0103085,90
0.0145829,0.0115944,0.0147398,0.011152,91
0.0140804,0.0107573,0.0141644,0.0105703,92
0.0145248,0.0111714,0.0144614,0.010988,93
0.0140301,0.0108019,0.0144608,0.0108274,94
0.0143933,0.011022,0.0145771,0.0109905,95
0.0141419,0.0108268,0.0143033,0.0107886,96
0.0144362,0.0111961,0.0144239,0.0111029,97
0.0140823,0.0110068,0.0142023,0.010417,98
0.0142646,0.0111908,0.0141949,0.0116285,99
