ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0280763,0.0112429,0.0168181,0.0124527,0
0.0132782,0.009678,0.0134927,0.0096336,1
0.012972,0.0092701,0.0126629,0.0095794,2
0.0130986,0.0090421,0.0129683,0.0096773,3
0.0136942,0.0091416,0.0120611,0.0085848,4
0.0138593,0.0090673,0.0121452,0.0090745,5
0.0139547,0.0089442,0.0121271,0.0091965,6
0.0135655,0.0088302,0.0120892,0.0090476,7
0.0144885,0.0088935,0.0125727,0.0091744,8
0.0144533,0.0090625,0.0122802,0.0089622,9
0.0147447,0.0089092,0.0122846,0.0090458,10
0.0142755,0.0088509,0.012323,0.0093016,11
0.0147122,0.0085392,0.011998,0.0088924,12
0.0145976,0.008802,0.012341,0.0092313,13
0.0147071,0.0085061,0.012549,0.0092647,14
0.0143104,0.0090872,0.0124626,0.0090753,15
0.0142874,0.0093866,0.012293,0.0089321,16
0.0148228,0.0090643,0.0125559,0.0090792,17
0.0143814,0.0091644,0.0119155,0.0091353,18
0.0142322,0.0091147,0.0125772,0.0091446,19
0.0142294,0.0087342,0.0119823,0.0091775,20
0.0147647,0.0089192,0.0121127,0.0088097,21
0.0149797,0.0093165,0.0126257,0.0092957,22
0.0148136,0.0087104,0.0122304,0.0092641,23
0.0148892,0.0087944,0.012288,0.0089244,24
0.014631,0.0091799,0.0120045,0.009369,25
0.0140422,0.0089049,0.0123441,0.0091655,26
0.0139429,0.008809,0.0124333,0.0088332,27
0.013528,0.0088512,0.0121663,0.0091815,28
0.0136796,0.0089274,0.0124285,0.0089037,29
0.0135129,0.0084882,0.0128526,0.0089546,30
0.0133395,0.0089684,0.0123595,0.0091954,31
0.0136045,0.0095086,0.0123908,0.0092812,32
0.0139599,0.0085624,0.0122236,0.0090042,33
0.0130545,0.0089419,0.0123501,0.0094067,34
0.0135967,0.0090159,0.0120088,0.008957,35
0.01402,0.0086377,0.0122207,0.0088529,36
0.0131229,0.0090529,0.0118706,0.0095367,37
0.0139477,0.008675,0.0123874,0.0091407,38
0.0135493,0.0088427,0.0123906,0.00905,39
0.0136568,0.0091489,0.0120392,0.009041,40
0.0134916,0.0089768,0.0121978,0.0091047,41
0.0138545,0.0089229,0.0129024,0.009332,42
0.0133283,0.0092028,0.0121079,0.009032,43
0.0133958,0.0090735,0.0127015,0.0088718,44
0.0132493,0.0089387,0.0120917,0.0093059,45
0.0134993,0.0090525,0.0122629,0.0090672,46
0.0131931,0.0086414,0.0127461,0.008937,47
0.0133524,0.0089024,0.0123045,0.0085648,48
0.0132712,0.0093903,0.0124841,0.0090503,49
0.0139864,0.0090858,0.0123444,0.0092505,50
0.0133065,0.0088099,0.0123317,0.008963,51
0.0134111,0.0090933,0.0123414,0.0091198,52
0.0137693,0.0088305,0.0121859,0.0091488,53
0.0130978,0.0089326,0.0121957,0.0091667,54
0.0130547,0.0086598,0.0121273,0.0091705,55
0.0141097,0.0089859,0.0126785,0.009202,56
0.0130496,0.0086338,0.0120997,0.0090706,57
0.0127627,0.0091082,0.0123857,0.009169,58
0.0129031,0.0091977,0.0119211,0.008989,59
0.0124911,0.0090139,0.0124555,0.0094994,60
0.0125035,0.0089215,0.0125617,0.0090338,61
0.0121699,0.0087042,0.0122126,0.0090698,62
0.0121908,0.0089596,0.0125533,0.0085125,63
0.0126313,0.0090031,0.013094,0.0092856,64
0.0122227,0.0088679,0.0124004,0.0091759,65
0.0124427,0.0087887,0.0124305,0.0088845,66
0.0122675,0.0087063,0.0128483,0.009128,67
0.0126291,0.0090616,0.0120257,0.0091176,68
0.0132872,0.0085595,0.0125915,0.0088119,69
0.0126032,0.0090807,0.0125649,0.0092632,70
0.0130137,0.0097777,0.0123068,0.0087677,71
0.0131033,0.0087542,0.0123593,0.0089682,72
0.0135019,0.0089431,0.0127711,0.0092708,73
0.0129683,0.0085972,0.0124275,0.0086831,74
0.0131156,0.0088708,0.0122615,0.0089268,75
0.0120752,0.0097894,0.0121617,0.0097545,76
0.0126846,0.0091417,0.0122653,0.0085998,77
0.0125778,0.0090003,0.011821,0.0092584,78
0.0125784,0.0086608,0.0124193,0.0093645,79
0.0126145,0.009143,0.0127196,0.0089879,80
0.0125656,0.0089088,0.0120319,0.0089924,81
0.0120625,0.0092524,0.0123471,0.0092998,82
0.0121992,0.0091562,0.0126801,0.0092838,83
0.0129627,0.0090709,0.0122953,0.0086835,84
0.012052,0.0090304,0.0125362,0.009098,85
0.0126481,0.0089359,0.0126861,0.0087811,86
0.0119932,0.0089222,0.0121494,0.0088952,87
0.0124536,0.0090474,0.0125022,0.0099601,88
0.0127085,0.0089944,0.0123139,0.0087951,89
0.0122985,0.0090377,0.0123581,0.0089466,90
0.0123628,0.0090658,0.0123343,0.0092138,91
0.012323,0.0089889,0.0123133,0.0087625,92
0.0124788,0.0085371,0.0122468,0.0087645,93
0.0122585,0.0088994,0.0123925,0.0089498,94
0.0126146,0.0089845,0.0122767,0.0089271,95
0.0124046,0.0086623,0.0122664,0.0094985,96
0.0119244,0.0088175,0.0121315,0.0090591,97
0.0123808,0.0090401,0.0122752,0.0091246,98
0.0125814,0.0087058,0.0125991,0.0086521,99
0.0123544,0.0090781,0.0125126,0.0092038,100
0.0120838,0.008871,0.0125945,0.0087151,101
0.0125443,0.0088694,0.012557,0.0088472,102
0.0118972,0.0087828,0.0124526,0.0092255,103
0.0123158,0.0090129,0.0125543,0.0086669,104
0.0123446,0.0086796,0.0122371,0.009007,105
0.0124141,0.0088306,0.0125715,0.0097202,106
0.0123594,0.009215,0.0120686,0.0087602,107
0.0125331,0.0087042,0.0124563,0.0091275,108
0.0125192,0.0089679,0.0120306,0.0089478,109
0.0130609,0.0088467,0.0122187,0.0088118,110
0.0123697,0.0100902,0.0135763,0.0103547,111
0.0121841,0.0110594,0.0138551,0.0109755,112
0.0121703,0.0101835,0.0136197,0.0102748,113
0.0121929,0.0105238,0.013965,0.0109913,114
0.0123932,0.0104474,0.0136905,0.0100798,115
0.0123114,0.0106114,0.0140042,0.0107348,116
0.0123861,0.0102327,0.0135823,0.010447,117
0.0121976,0.0106093,0.0142233,0.0107181,118
0.0118282,0.0100091,0.0136616,0.0103342,119
0.0120907,0.0109257,0.0138669,0.0107262,120
0.0131345,0.0099307,0.0136991,0.0100984,121
0.0122213,0.0107583,0.0139705,0.0109686,122
0.0126542,0.009993,0.0136464,0.0105584,123
0.0123083,0.0105928,0.0136836,0.010849,124
0.0121779,0.0102979,0.0139058,0.0103208,125
0.0126101,0.0106783,0.0138978,0.0105453,126
0.0122808,0.0099974,0.0138487,0.0106351,127
0.0121774,0.0109338,0.0138247,0.0109201,128
0.0118592,0.009991,0.0136332,0.0107838,129
0.0124424,0.0109921,0.0138296,0.011019,130
0.0123412,0.0101481,0.0138994,0.0101214,131
0.0125893,0.0105921,0.01406,0.0113202,132
0.0125922,0.0104759,0.013535,0.0101876,133
0.0123886,0.0105198,0.0137091,0.010785,134
0.0128485,0.0102742,0.013613,0.0103931,135
0.0124052,0.0105463,0.0138214,0.0106237,136
0.0123103,0.0099552,0.0135499,0.0106492,137
0.0119094,0.0109797,0.0136962,0.0107682,138
0.0122429,0.0099233,0.0135139,0.0104375,139
0.0119058,0.0107487,0.0139456,0.0110971,140
0.0122695,0.0099833,0.0136161,0.0104408,141
0.0128047,0.0106308,0.0140614,0.0110046,142
0.012068,0.0101048,0.013951,0.0100901,143
0.0122487,0.0106994,0.0137648,0.0110902,144
0.0117741,0.0100973,0.013599,0.0104899,145
0.0123239,0.0105837,0.0137982,0.0106243,146
0.0123777,0.0098205,0.013546,0.0104346,147
0.0124408,0.0113129,0.0139429,0.0108715,148
0.0123226,0.010333,0.013623,0.0100064,149
0.0127198,0.010856,0.0138679,0.0111938,150
0.0123855,0.0099353,0.0136877,0.0100105,151
0.0122285,0.010723,0.0138381,0.0111957,152
0.0120941,0.0105631,0.0137511,0.0103347,153
0.0121355,0.0105576,0.0139105,0.0106399,154
0.0120901,0.010273,0.0138149,0.0105508,155
0.0120817,0.0107394,0.013843,0.0109188,156
0.012645,0.0099303,0.0137972,0.0102021,157
0.0121956,0.0109633,0.0139153,0.0106925,158
0.0128087,0.0100564,0.0135995,0.0100397,159
0.0125044,0.0105168,0.0140081,0.0112299,160
0.0122724,0.0103123,0.0136782,0.0103016,161
0.0122905,0.010777,0.0139364,0.0107454,162
0.0123081,0.0102994,0.0136046,0.0100089,163
0.0123654,0.0105435,0.0139879,0.0106223,164
0.0122901,0.0098647,0.0135528,0.0102059,165
0.0122272,0.0109826,0.0138907,0.0105641,166
0.0121595,0.010095,0.0136085,0.0103998,167
0.0121383,0.0107429,0.0138531,0.0107403,168
0.0122228,0.0100078,0.0134243,0.0103545,169
0.0126171,0.0107918,0.0139204,0.0112515,170
0.0121185,0.0101797,0.0133996,0.0103751,171
0.0122689,0.0106877,0.0141516,0.0107752,172
0.0120614,0.010016,0.013803,0.0102702,173
0.012351,0.0105625,0.0139139,0.0112108,174
0.0122838,0.010119,0.0133083,0.0103572,175
0.0122339,0.0110675,0.0140974,0.010839,176
0.012468,0.0099629,0.0135293,0.0101679,177
0.0118768,0.0109233,0.0139677,0.011139,178
0.0124748,0.0102022,0.01345,0.0099108,179
0.0124296,0.0105517,0.014157,0.0112491,180
0.0125537,0.0103014,0.0132641,0.0102061,181
0.0122401,0.0106942,0.0138453,0.0105985,182
0.0122261,0.0099336,0.0134616,0.010483,183
0.0123302,0.0110182,0.0138218,0.0108674,184
0.0117434,0.010081,0.0136923,0.0104491,185
0.0122014,0.0107971,0.0139135,0.0108955,186
0.0124186,0.0099586,0.0135037,0.0099317,187
0.0122709,0.0104785,0.0140984,0.011123,188
